Date,Player,Oppoent,Old Elo,Elo,Elo Change
2022-05-11,maboroshi,Chun,900.0,899.0436878195512489254737926,-0.9563121804487510745262074
2022-05-11,Chun,maboroshi,2100.0,2100.473198057726475970086227,0.473198057726475970086227
2022-05-11,GodFather,Magic,900.0,899.0436878195512489254737926,-0.9563121804487510745262074
2022-05-11,Magic,GodFather,2100.0,2100.473198057726475970086227,0.473198057726475970086227
2022-05-12,Jak,Sum,2100.0,2126.371404464251693955663940,26.371404464251693955663940
2022-05-12,Sum,Jak,2100.0,2073.628595535748306044336060,-26.371404464251693955663940
2022-05-16,軒,Bus,900.0,899.0436878195512489254737926,-0.9563121804487510745262074
2022-05-16,Bus,軒,2100.0,2100.473198057726475970086227,0.473198057726475970086227
2022-05-16,Chun,Rado,2100.4731980577267,2126.791584987261343663416406,26.31838692953466688385007330
2022-05-16,Rado,Chun,2100.0,2073.664999474716487612458070,-26.335000525283512387541930
2022-05-16,Bus,GodFather,2100.4731980577267,2100.879555269920026632524287,0.4063572121933498529579543021
2022-05-16,GodFather,Bus,899.0436878195512,898.2214156422438490625056421,-0.8222721773073745208974013489
2022-05-18,Sum,Magic,2073.6285955357484,2042.638180028428413283122349,-30.99041550732003211668169179
2022-05-18,Magic,Sum,2100.4731980577267,2136.367817260729570335780158,35.89461920300289355621382530
2022-05-20,軒,maboroshi,899.0436878195512,833.8734655893150017032464332,-65.17022223023622188015661025
2022-05-20,maboroshi,軒,899.0436878195512,964.2139100497874454635596537,65.17022223023622188015661025
2022-05-23,Magic,Jak,2136.3678172607297,2110.512125040579160517379530,-25.85569222015051961148168869
2022-05-23,Jak,Magic,2126.3714044642516,2152.583401065826331930672039,26.21199660157477733047607979
2022-05-24,maboroshi,GodFather,964.2139100497875,908.2210056278903115425811533,-55.99290442189718906869241855
2022-05-24,GodFather,maboroshi,898.2214156422439,956.7668235081153324734956135,58.54540786587146335830456735
2022-05-26,Sum,Bus,2042.6381800284285,2070.214316939577935130628863,27.57613691114948423445701005
2022-05-26,Bus,Sum,2100.87955526992,2070.206380096083816726039884,-30.67317517383600296727402756
2022-05-27,軒,Rado,833.873465589315,832.9156539544252211992341211,-0.9578116348897253562983939490
2022-05-27,Rado,軒,2073.6649994747163,2074.056507031641036654463093,0.3915075569247402640656188303
2022-05-29,GodFather,Rado,956.7668235081153,955.6778020550455071730631637,-1.089021453069787143603968380
2022-05-29,Rado,GodFather,2074.056507031641,2074.539337158310100858081123,0.4828301266689970360416827258
2022-05-31,Bus,Jak,2070.2063800960836,2098.501975922387322446536230,28.29559582630367362356740430
2022-05-31,Jak,Bus,2152.5834010658264,2122.193987625299357503946576,-30.38941344052700757997512472
2022-06-01,軒,Chun,832.9156539544252,832.2130475677943079580404506,-0.7026063866309302676268211631
2022-06-01,Chun,軒,2126.7915849872616,2127.112440294252792550852813,0.3208553069912344246602730697
2022-06-01,maboroshi,Sum,908.2210056278903,907.0660567424493907399650684,-1.154948885440958647633621246
2022-06-01,Sum,maboroshi,2070.214316939578,2070.712336262670497603003637,0.4980193230923861157957027396
2022-06-05,Sum,Rado,2070.7123362626703,2048.120981422941811726772788,-22.59135483972849385988004224
2022-06-05,Rado,Sum,2074.53933715831,2097.018267403455169295545429,22.47893024514517866808710993
2022-06-06,Bus,Magic,2098.5019759223874,2077.255844941478799183607713,-21.24613098090857424634820162
2022-06-06,Magic,Bus,2110.512125040579,2135.600944955003819220427468,25.08881991442469766056914586
2022-06-06,GodFather,Chun,955.6778020550455,954.7495226831628102692134891,-0.9282793718826936791360165629
2022-06-06,Chun,GodFather,2127.112440294253,2127.572222846763379320119298,0.4597825525105870923388515898
2022-06-07,maboroshi,Jak,907.0660567424494,905.9106988807489967087953443,-1.155357861700408028476489865
2022-06-07,Jak,maboroshi,2122.1939876252995,2122.751477101867343507519385,0.5574894765678016748730299671
2022-06-09,maboroshi,Magic,905.910698880749,904.8464014107909786651227530,-1.064297469958031066393954689
2022-06-09,Magic,maboroshi,2135.600944955004,2136.104785004974869445755682,0.5038400499710723691131687249
2022-06-11,Chun,Sum,2127.5722228467635,2096.432798482323426073850132,-31.13942436444002617922145926
2022-06-11,Sum,Chun,2048.120981422942,2076.940807293645090284691754,28.81982587070319499557800891
2022-06-11,Jak,Rado,2122.7514771018673,2146.395516300334166344644916,23.64403919846687179447006875
2022-06-11,Rado,Jak,2097.018267403455,2076.621289282816700579809292,-20.39697812063825578593994792
2022-06-12,Chun,Jak,2096.4327984823235,2121.766413293648622730847787,25.33361481132511713528853271
2022-06-12,Jak,Chun,2146.3955163003343,2117.989066813917113591840213,-28.40644948641717959971381182
2022-06-13,Magic,Rado,2136.104785004975,2156.880949034545163106677248,20.77616402957023450945609701
2022-06-13,Rado,Magic,2076.6212892828166,2057.870507621603458762716591,-18.75078166121317444104878640
2022-06-13,GodFather,Sum,954.7495226831628,952.4307917802437387373219731,-2.318730902919070052025791005
2022-06-13,Sum,GodFather,2076.940807293645,2077.963566864398845492577249,1.022759570753979343170368860
2022-06-20,maboroshi,Bus,904.846401410791,902.8091370151449296344371851,-2.037264395646101959834586510
2022-06-20,Bus,maboroshi,2077.2558449414787,2078.124327237739162362389278,0.8684822962604631785992648059
2022-06-25,Rado,Bus,2057.8705076216033,2082.428901159826936249820202,24.55839353822359863851560593
2022-06-25,Bus,Rado,2078.124327237739,2054.203500470794321818877143,-23.92082676694485859955275324
2022-06-28,Chun,Magic,2121.766413293649,2098.858094754556253336409506,-22.90831853909258525302407464
2022-06-28,Magic,Chun,2156.880949034545,2178.706706047944225855178032,21.82575701339901540312619873
2022-06-30,Chun,Bus,2098.858094754556,2074.051739151740031681089586,-24.80635560281604585138064029
2022-06-30,Bus,Chun,2054.203500470794,2080.501785310321834639755648,26.29828483952773758500592075
2022-07-01,GodFather,Jak,952.4307917802438,949.8821097831064264589024645,-2.548681997137367705659667710
2022-07-01,Jak,GodFather,2117.989066813917,2119.264365326004916440004947,1.275298512088009900188537651
2022-07-04,maboroshi,Rado,902.809137015145,901.3704251810260168447283119,-1.438711834118966861976494636
